open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades
2020-09-22 00:00:00+00:00,0.85,7.0,0.85,5.3193,31441883.16,2020-09-22 23:59:59.999000+00:00,166715315.42381,375884
2020-09-23 00:00:00+00:00,5.3279,5.36,3.4,3.535,12620608.01,2020-09-23 23:59:59.999000+00:00,53155220.869282,168336
2020-09-24 00:00:00+00:00,3.5305,4.8873,3.4033,4.6411,7107843.86,2020-09-24 23:59:59.999000+00:00,28912533.318708,104806
2020-09-25 00:00:00+00:00,4.6366,5.0234,4.2001,4.7134,3886096.71,2020-09-25 23:59:59.999000+00:00,17910676.096147,78381
2020-09-26 00:00:00+00:00,4.7164,4.82,4.3294,4.52,1814932.97,2020-09-26 23:59:59.999000+00:00,8304263.783599,34016
2020-09-27 00:00:00+00:00,4.5214,4.7134,4.1068,4.6484,1500134.56,2020-09-27 23:59:59.999000+00:00,6626177.405459,25867
2020-09-28 00:00:00+00:00,4.6485,4.705,4.1667,4.2021,1210446.38,2020-09-28 23:59:59.999000+00:00,5281810.912446,20903
2020-09-29 00:00:00+00:00,4.1999,4.2899,3.9607,4.1394,1057878.53,2020-09-29 23:59:59.999000+00:00,4361852.971104,17711
2020-09-30 00:00:00+00:00,4.1429,4.411,3.9958,4.3293,915518.31,2020-09-30 23:59:59.999000+00:00,3839122.432152,18015
2020-10-01 00:00:00+00:00,4.3293,4.53,4.014,4.15,1477288.72,2020-10-01 23:59:59.999000+00:00,6232982.476506,20441
2020-10-02 00:00:00+00:00,4.1422,4.2198,3.6332,3.9115,1847614.48,2020-10-02 23:59:59.999000+00:00,7189956.875417,23878
2020-10-03 00:00:00+00:00,3.9156,4.19,3.8696,4.0168,679798.03,2020-10-03 23:59:59.999000+00:00,2729615.964657,7459
2020-10-04 00:00:00+00:00,4.0202,4.0798,3.8334,3.964,630849.97,2020-10-04 23:59:59.999000+00:00,2483672.142012,8755
2020-10-05 00:00:00+00:00,3.9582,4.0456,3.87,3.9813,475912.76,2020-10-05 23:59:59.999000+00:00,1883990.190668,7561
2020-10-06 00:00:00+00:00,3.9949,4.0,3.5,3.5424,971155.87,2020-10-06 23:59:59.999000+00:00,3553458.059347,17876
2020-10-07 00:00:00+00:00,3.5401,3.5462,3.207,3.442,988661.32,2020-10-07 23:59:59.999000+00:00,3329160.072095,16799
2020-10-08 00:00:00+00:00,3.4409,3.9599,3.3228,3.9147,900977.83,2020-10-08 23:59:59.999000+00:00,3300534.466961,11436
2020-10-09 00:00:00+00:00,3.9147,4.3252,3.8034,4.2491,573063.37,2020-10-09 23:59:59.999000+00:00,2339370.568006,10448
2020-10-10 00:00:00+00:00,4.2427,4.2693,4.0001,4.023,821315.35,2020-10-10 23:59:59.999000+00:00,3382885.218935,10467
2020-10-11 00:00:00+00:00,4.0205,4.1762,3.9333,4.096,542437.49,2020-10-11 23:59:59.999000+00:00,2203938.047429,7368
2020-10-12 00:00:00+00:00,4.0841,4.71,4.054,4.41,851811.15,2020-10-12 23:59:59.999000+00:00,3741254.639136,15031
2020-10-13 00:00:00+00:00,4.4099,4.5636,4.3203,4.4806,776819.51,2020-10-13 23:59:59.999000+00:00,3461676.161877,12883
2020-10-14 00:00:00+00:00,4.4808,4.4848,4.0125,4.1596,512479.12,2020-10-14 23:59:59.999000+00:00,2172949.680797,8005
2020-10-15 00:00:00+00:00,4.15,4.2312,3.9985,4.1269,306544.02,2020-10-15 23:59:59.999000+00:00,1255397.298573,6083
2020-10-16 00:00:00+00:00,4.1266,4.1582,3.8755,4.0433,538055.06,2020-10-16 23:59:59.999000+00:00,2158279.790595,9844
2020-10-17 00:00:00+00:00,4.0462,4.21,3.9673,4.1946,258634.77,2020-10-17 23:59:59.999000+00:00,1059554.149781,6287
2020-10-18 00:00:00+00:00,4.1874,4.2461,4.0701,4.1195,138296.5,2020-10-18 23:59:59.999000+00:00,576945.333937,2474
2020-10-19 00:00:00+00:00,4.1371,4.1748,3.9926,4.05,274925.09,2020-10-19 23:59:59.999000+00:00,1117039.448789,4916
2020-10-20 00:00:00+00:00,4.0568,4.0908,3.6925,3.804,589447.62,2020-10-20 23:59:59.999000+00:00,2274226.081624,12841
2020-10-21 00:00:00+00:00,3.8007,4.103,3.7918,3.9585,319446.86,2020-10-21 23:59:59.999000+00:00,1268228.482366,7362
2020-10-22 00:00:00+00:00,3.9574,4.4904,3.9511,4.3385,741499.28,2020-10-22 23:59:59.999000+00:00,3221997.415673,14349
