open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades
2019-01-16 08:00:00+00:00,0.5355,0.5355,0.498,0.498,216595.03,2019-01-16 11:59:59.999000+00:00,109619.738721,447
2019-01-16 12:00:00+00:00,0.498,0.5021,0.4668,0.479,504161.65,2019-01-16 15:59:59.999000+00:00,245583.524037,1124
2019-01-16 16:00:00+00:00,0.4782,0.52,0.4677,0.5041,336755.42,2019-01-16 19:59:59.999000+00:00,166394.013776,1017
2019-01-16 20:00:00+00:00,0.5031,0.52,0.4851,0.4895,286148.21,2019-01-16 23:59:59.999000+00:00,143416.367915,904
2019-01-17 00:00:00+00:00,0.4895,0.4895,0.4639,0.4677,389322.23,2019-01-17 03:59:59.999000+00:00,185963.780254,985
2019-01-17 04:00:00+00:00,0.4685,0.4877,0.4653,0.4724,171952.51,2019-01-17 07:59:59.999000+00:00,81342.319134,492
2019-01-17 08:00:00+00:00,0.4738,0.4862,0.4703,0.4726,81761.17,2019-01-17 11:59:59.999000+00:00,38833.689061,359
2019-01-17 12:00:00+00:00,0.4734,0.4953,0.4703,0.4874,133355.89,2019-01-17 15:59:59.999000+00:00,64902.844401,500
2019-01-17 16:00:00+00:00,0.4874,0.4915,0.4706,0.4735,381470.19,2019-01-17 19:59:59.999000+00:00,181720.372283,808
2019-01-17 20:00:00+00:00,0.4735,0.4837,0.4708,0.4756,253863.36,2019-01-17 23:59:59.999000+00:00,120684.203464,843
2019-01-18 00:00:00+00:00,0.4762,0.4762,0.4678,0.4707,52382.25,2019-01-18 03:59:59.999000+00:00,24751.673739,536
2019-01-18 04:00:00+00:00,0.4686,0.4729,0.4601,0.4719,162773.23,2019-01-18 07:59:59.999000+00:00,75858.967444,955
2019-01-18 08:00:00+00:00,0.4719,0.48,0.4634,0.4688,127142.47,2019-01-18 11:59:59.999000+00:00,60579.606924,875
2019-01-18 12:00:00+00:00,0.4686,0.475,0.4635,0.471,60676.69,2019-01-18 15:59:59.999000+00:00,28453.309641,690
2019-01-18 16:00:00+00:00,0.4718,0.4749,0.4653,0.472,79303.4,2019-01-18 19:59:59.999000+00:00,37324.670504,505
2019-01-18 20:00:00+00:00,0.472,0.5112,0.472,0.4894,502139.55,2019-01-18 23:59:59.999000+00:00,248031.05799,2101
2019-01-19 00:00:00+00:00,0.4908,0.4981,0.4786,0.4797,117128.16,2019-01-19 03:59:59.999000+00:00,57095.672449,900
2019-01-19 04:00:00+00:00,0.4804,0.4937,0.4684,0.4758,160246.03,2019-01-19 07:59:59.999000+00:00,76535.973061,986
2019-01-19 08:00:00+00:00,0.4747,0.5,0.4673,0.4813,225021.09,2019-01-19 11:59:59.999000+00:00,107968.421216,1261
2019-01-19 12:00:00+00:00,0.4829,0.49,0.48,0.4819,127587.0,2019-01-19 15:59:59.999000+00:00,61702.81541,776
2019-01-19 16:00:00+00:00,0.4836,0.4852,0.476,0.4809,56494.02,2019-01-19 19:59:59.999000+00:00,27159.001926,370
2019-01-19 20:00:00+00:00,0.4821,0.4851,0.4773,0.4831,48966.9,2019-01-19 23:59:59.999000+00:00,23628.156984,189
2019-01-20 00:00:00+00:00,0.4803,0.4851,0.4785,0.4821,33379.55,2019-01-20 03:59:59.999000+00:00,16070.121336,194
2019-01-20 04:00:00+00:00,0.4847,0.4853,0.479,0.483,19353.64,2019-01-20 07:59:59.999000+00:00,9353.776619,79
